CountryCode,Country_Long,TARGET,MedianAge,AVG_TEMP,PER_CAP_INC,LATITUDE,LONGITUDE,Avg_Per_Unemp,CHGENPCT,JDGENPCT,ISGENPCT,BUGENPCT,ZOGENPCT,HIGENPCT,NORELPCT,OtherRelPCT,Prohibited,SunniPCT,ShiaPCT
AFG,Afghanistan,38.3,18,12.92145452,1932.891804,33,65,8.689999962,0.0003,0,0.9956,0.0001,0.0001,0.0003,0.002,0.0016,1,0.8,0.19
AGO,Angola,45.1,17.9,,,,,6.850000095,0.8912,0,0.0104,0.0001,0,0,0.0179,0.0804,0,0,0
ALB,Albania,27.5,31.6,11.26980007,11107.96813,41,20,14.03999996,0.2144,0,0.63,0,0,0,0.1507,0.0049,0,0.6,0.03
ARE,United Arab Emirates,70.9,30.3,26.82560888,67674.13447,24,54,3.689999938,0.0714,0,0.6748,0.0035,0,0.2225,0.0136,0.0142,0,0.5661,0.1087
ARG,Argentina,33.1,31.2,,,,,8.74000001,0.8515,0.0068,0.0151,0.0002,0,0,0.12,0.0064,0,0,0
ARM,Armenia,17.9,33.7,6.374361625,8069.723499,40,45,19.9,0.951,0.0002,0.0003,0,0,0,0.0346,0.0139,0,0,0
AUS,Australia,31.3,38.3,21.50667634,45925.4938,-27,133,5.249999952,0.6145,0.0045,0.0223,0.0247,0.0001,0.0084,0.3101,0.0154,0,0,0
AUT,Austria,29.6,44.3,6.186012748,47682.2998,47.3333,13.3333,4.390000033,0.73,0.001,0.0475,0,0,0,0.1542,0.0673,0,0,0
AZE,Azerbaijan,11.1,30.1,12.22434447,17520.66904,40.5,47.5,6.269999981,0.0241,0.0009,0.95,0,0,0,0.0193,0.0057,0,0.1425,0.8075
BDI,Burundi,48,17,20.26609974,769.8821582,-3.5,30,7.109999943,0.889,0,0.025,0,0,0.0008,0.0026,0.0826,0,0.024,0.001
BEL,Belgium,27.7,43.1,9.514241274,43434.71783,50.8333,4,7.699999952,0.692,0.0028,0.05,0.003,0,0.0007,0.192,0.0595,0,0.045,0.005
BEN,Benin,11.7,17.7,27.46155267,2030.168458,9.5,2.25,1.030000013,0.4,0,0.2647,0,0,0,0.0334,0.3019,0,0.2623,0.0024
BFA,Burkina Faso,39.2,17,28.17636051,1619.540629,13,-2,3.149999952,0.2935,0,0.579,0,0,0,0.005,0.1225,0,0.57,0.009
BGD,Bangladesh,17.6,24.3,25.4709131,3122.744495,24,90,4.350000024,0.002,0,0.897,0.006,0,0.09,0.0008,0.0042,1,0.895,0.002
BGR,Bulgaria,36.8,42.6,10.39676164,17207.5583,43,25,10.27000008,0.8227,0.0003,0.1289,0,0,0,0.0473,0.0008,0,0.122,0.0069
BHR,Bahrain,46.6,31.6,,,,,4.079999995,0.098,0,0.896,0,0,0,0,0.006,0,0.2957,0.6003
BHS,Bahamas,27.4,31.2,25.06333351,23491.12958,24.25,-76,11.95999994,0.966,0.001,0,0,0,0,0.029,0.004,0,0,0
BIH,Bosnia and Herzegovina,26.2,40.8,9.016531835,10426.89909,44,18,27.29000015,0.52,0.0003,0.45,0,0,0,0.0293,0.0004,0,0.45,0
BLR,Belarus,48,39.4,6.294930099,18184.8684,53,28,6.15999999,0.5684,0.0013,0.002,0,0,0,0.411,0.0173,0,0,0
BLZ,Belize,62.1,21.8,25.06433296,8416.82125,17.25,-88.75,10.88999987,0.7365,0,0.0019,0.0025,0,0.002,0.1562,0.1009,0,0,0
BOL,Bolivia,24.4,23.4,,,,,3.560000038,0.9426,0,0.0001,0.0004,0,0,0.04,0.0169,0,0,0
BRA,Brazil,33.1,30.7,24.91577183,15893.15147,-10,-55,7.54000001,0.8823,0.0006,0.0002,0.0013,0,0,0.085,0.0306,0,0,0
BRB,Barbados,22.3,37.6,,,,,10.07000012,0.6434,0.0001,0.008,0.0004,0,0.0042,0.205,0.1389,0,0,0
BTN,Bhutan,14.9,26.2,8.57504293,7815.663774,27.5,90.5,3.049999976,0.0122,0,0.01,0.8402,0,0.1039,0.0003,0.0334,0,0,0
BWA,Botswana,43.8,22.9,21.47853885,16099.27393,-22,24,18.77000008,0.692,0,0.0274,0.0006,0,0.0014,0.0249,0.2537,0,0.026,0.0014
CAF,Central African Republic,37.8,19.4,24.83925494,594.1644385,7,21,7.020000076,0.492,0,0.15,0,0,0,0.0124,0.3456,0,0.141,0.009
CAN,Canada,28.9,41.7,-7.144579613,45065.69154,60,-95,7.010000038,0.7661,0.0099,0.0194,0.0194,0.0002,0.008,0.1643,0.0127,0,0.0174,0.002
CHE,Switzerland,26.2,42,4.749057397,59539.77699,47,8,3.939999986,0.8056,0.0022,0.0411,0.0032,0,0.0031,0.1342,0.0106,0,0,0
CHL,Chile,31.1,33.3,8.369828303,22071.09747,-30,-71,7.55,0.9128,0.0012,0.0003,0.0002,0,0,0.06,0.0255,0,0,0
CHN,China,32.7,36.7,6.325663982,13206.38357,35,105,4.339999986,0.058,0,0.025,0.126,0,0,0.325,0.466,0,0,0
CMR,Cameroon,42,18.3,24.52785039,2972.223252,6,12,4.399999952,0.4952,0,0.214,0,0,0,0.0073,0.2835,0,0.214,0
COL,Colombia,27.8,28.9,24.40381182,13357.14967,4,-72,11.58000021,0.9701,0.0002,0.0006,0,0,0.0002,0.015,0.0139,0,0,0
COM,Comoros,4.5,19.2,23.98699951,1429.278285,-12.1667,44.25,6.549999952,0.0013,0,0.9806,0,0,0,0.0024,0.0157,0,0,0.9806
CRI,Costa Rica,22.7,30,23.85092872,14918.07725,10,-84,6.790000057,0.8822,0.0009,0,0.0003,0,0.0001,0.1,0.0165,0,0,0
CUB,Cuba,18.5,39.9,,,,,2.780000019,0.6589,0.0001,0.0007,0,0,0.0022,0.1315,0.2066,0,0,0
CYP,Cyprus,23.3,35.7,18.71350002,30239.28934,35,33,7.980000114,0.7453,0.0002,0.2027,0,0,0,0.032,0.0198,0,0.2027,0
CZE,Czech Republic,32.5,40.9,7.665499973,31185.8787,49.75,15.5,6.65,0.2138,0.0007,0.0001,0,0,0,0.7575,0.0279,0,0,0
DEU,Germany,31.7,46.1,8.504451892,46400.61924,51,9,7.050000048,0.7078,0.0015,0.049,0.003,0,0.0012,0.23,0.0075,0,0.0355,0.0034
DJI,Djibouti,49.4,22.8,27.64300019,3270.410946,11.5,43,0,0.0139,0,0.975,0,0,0.0004,0.0096,0.0011,0,0.975,0
DMA,Dominica,26.4,32.1,,,,,0,0.92,0,0,0,0,0,0.06,0.02,0,0,0
DNK,Denmark,35.2,41.6,7.818978497,45536.50585,56,10,5.779999995,0.8172,0.0004,0.0401,0.0008,0,0,0.1011,0.0404,0,0.0388,0.0013
DOM,Dominican Republic,27.1,27.1,23.92974985,13262.29577,19,-70.6667,14.71999979,0.87,0,0,0,0,0,0.12,0.01,0,0,0
DZA,Algeria,23.5,27.3,22.57579114,14193.3784,28,3,12.76999998,0.008,0,0.99,0,0,0,0,0.002,0,0.99,0
ECU,Ecuador,32.6,26.7,21.32904646,11371.66365,-2,-77.5,5.309999943,0.903,0.0001,0.0001,0.0005,0,0,0.085,0.0113,0,0,0
EGY,Egypt,11.8,25.1,22.12045302,10532.85076,27,30,10.66999989,0.1212,0,0.8643,0,0,0,0.01,0.0045,0,0.86,0
ERI,Eritrea,5.2,19.1,,,,,7.329999971,0.575,0,0.4012,0,0,0.0002,0.0128,0.0108,0,0.4012,0
ESP,Spain,35,41.6,13.02547607,33628.93709,40,-4,17.89000025,0.8056,0.0003,0.0304,0.0002,0,0,0.16,0.0035,0,0,0
EST,Estonia,44.6,41.2,5.030938424,28139.93944,59,26,9.880000067,0.2837,0.0013,0.0015,0.001,0,0.0003,0.6903,0.0219,0,0.0015,0
ETH,Ethiopia,57.1,17.6,22.37039295,1499.759219,8,38,5.459999943,0.6156,0.0001,0.3444,0,0,0.0001,0.0013,0.0385,0,0.3392,0.0052
FIN,Finland,38.4,43.2,1.347861143,40675.90902,64,26,7.909999943,0.794,0.0002,0.0045,0.0009,0,0,0.166,0.0344,0,0,0
FJI,Fiji,15.8,27.9,23.37100029,8792.38056,-18,175,8.220000029,0.64,0,0.06,0,0,0.28,0.0105,0.0095,0,0,0
FRA,France,27.9,40.9,10.54372223,39327.86768,46,2,9.219999933,0.7019,0.0077,0.0789,0.0104,0,0.0008,0.1915,0.0088,0,0.0717,0.0072
GAB,Gabon,57.7,18.6,24.99982139,19430.12464,-1,11.75,20.62999992,0.7472,0,0.15,0,0,0,0.016,0.0868,0,0.145,0.005
GBR,United Kingdom,29.8,40.4,8.310239139,40233.20981,54,-2,6.720000076,0.6263,0.0042,0.0434,0.004,0.0001,0.0131,0.2616,0.0473,0,0.0386,0.0048
GEO,Georgia,43.3,37.7,7.3648176,9162.865024,42,43.5,14.55,0.798,0.0027,0.099,0,0,0,0.0876,0.0127,0,0.099,0
GHA,Ghana,43.9,20.8,27.25177926,4081.671051,8,-2,4.099999976,0.7034,0,0.176,0,0,0,0.06,0.0606,0,0.1528,0.0232
GIN,Guinea,17.9,18.7,25.5476409,1221.281788,11,-10,1.810000014,0.08,0,0.85,0.0009,0,0,0.0019,0.0672,0,0.842,0.008
GMB,Gambia,64.1,20.2,26.772,1630.496131,13.4667,-16.5667,7.069999933,0.0435,0,0.9,0,0,0.0002,0.0052,0.0511,0,0.89,0.01
GNB,Guinea-Bissau,28.9,19.8,26.60800037,1385.533453,12,-15,6.830000162,0.1088,0,0.3991,0,0,0,0.0162,0.4759,0,0.3891,0.01
GNQ,Equatorial Guinea,36,19.4,24.12599966,34739.0821,2,10,6.970000076,0.892,0,0.0394,0,0,0.0005,0.0344,0.0337,0,0.0394,0
GRC,Greece,33.1,43.5,13.65550198,26850.89388,39,22,15.34000015,0.9438,0.0005,0.024,0,0,0,0.0261,0.0056,0,0.0212,0.0028
GRD,Grenada,56,29.9,,,,,0,0.87,0,0.0049,0,0,0.0024,0.0481,0.0746,0,0,0
GTM,Guatemala,19.5,21,23.07117961,7454.282493,15.5,-90.25,2.830000007,0.95,0.0001,0.0001,0,0,0,0.0459,0.0039,0,0.0001,0
GUY,Guyana,29.9,25,,,,,11.26000013,0.5575,0,0.075,0,0,0.295,0.05,0.0225,0,0,0
HND,Honduras,18.2,21.9,23.38608334,4908.68119,15,-86.5,3.730000043,0.89,0,0,0,0,0,0.1,0.01,0,0,0
HRV,Croatia,33.3,42.1,10.47091069,21635.08227,45.1667,15.5,12.93000011,0.9137,0.0001,0.0147,0,0,0,0.0565,0.015,0,0.0147,0
HTI,Haiti,25.1,22.2,24.47507682,1731.798131,19,-72.4167,7.190000105,0.82,0,0.0002,0,0,0,0.1,0.0798,0,0,0
HUN,Hungary,36.4,41.1,10.06144773,25068.85186,47,20,9.009999943,0.6736,0.0011,0.0005,0,0,0,0.2716,0.0532,0,0,0
IDN,Indonesia,15.9,29.2,25.71897008,10517.03285,-5,120,7.40999999,0.106,0,0.8399,0.008,0,0.015,0.0075,0.0236,0,0.8293,0.0085
IND,India,62.7,27,23.94543419,5700.723473,20,77,3.810000014,0.0234,0,0.134,0.0077,0.0001,0.8045,0.0031,0.0272,0,0.1139,0.0201
IRL,Ireland,31.7,35.7,9.107924359,49393.23216,53,-8,9.920000076,0.9299,0.0004,0.0058,0.0002,0,0,0.0605,0.0032,0,0,0
IRN,Iran,52.1,28.3,,,,,12.23000011,0.0016,0.0001,0.99,0,0,0,0.0036,0.0047,1,0.09,0.9
IRQ,Iraq,20.1,21.5,21.57999357,15057.13175,33,44,16.01999998,0.0189,0,0.95,0,0,0,0.011,0.0201,0,0.325,0.625
ISL,Iceland,22.1,36.4,1.351408623,43993.29286,65,-18,4.909999943,0.9155,0,0.005,0.0034,0,0,0.0325,0.0436,0,0,0
ISR,Israel,10.8,29.9,19.69800023,33703.42504,31.5,34.75,6.95999999,0.02,0.731,0.1999,0,0,0,0.045,0.0041,0,0.1799,0
ITA,Italy,20.7,44.5,11.5006943,35462.79572,42.8333,12.8333,9.039999914,0.7939,0.0006,0.0116,0.0001,0,0.0001,0.1868,0.0069,0,0,0
JAM,Jamaica,23.1,24.9,24.46899986,8877.738207,18.25,-77.5,12.3499999,0.6881,0.0002,0.0005,0.0001,0,0.0056,0.1994,0.1061,0,0,0
JOR,Jordan,32.4,21.8,18.35282849,12050.31298,31,36,12.76999998,0.03,0,0.97,0,0,0,0,0,0,0.95,0.02
JPN,Japan,22.4,46.1,10.36272594,36619.42617,36,138,4.330000043,0.0196,0,0.0015,0.6907,0,0.0002,0.095,0.193,0,0,0
KAZ,Kazakhstan,53.8,29.7,5.987870514,24227.72181,48,68,6.690000057,0.29,0.0002,0.5932,0,0,0,0.1152,0.0014,0,0.5632,0.03
KEN,Kenya,41.2,19.1,24.49946529,2954.077412,1,38,9.349999905,0.8063,0,0.1045,0,0,0.0044,0.0033,0.0815,0,0.0992,0.0052
KGZ,Kyrgyzstan,23.2,25.7,1.093056123,3321.480207,41,75,8.25,0.1007,0.0001,0.7702,0,0,0,0.05,0.079,0,0.77,0.0002
KHM,Cambodia,31,24.1,26.93950004,3262.639832,13,105,0.600000005,0.0037,0,0.0192,0.9669,0,0,0.0039,0.0063,0,0.0179,0.0013
KIR,Kiribati,20.6,23.6,,,,,0,0.96,0,0,0.0001,0,0,0.01,0.0299,0,0,0
KNA,Saint Kitts and Nevis,41.3,33.5,,,,,0,0.8979,0,0.0028,0,0,0.0095,0.0888,0.001,0,0,0
KWT,Kuwait,2.9,28.9,25.15349984,73245.66835,29.3375,47.6581,2.199999994,0,0,0.9195,0,0,0.04,0,0.0405,1,0.7,0.2195
